id	route	name	reference	status	level	funding	duration	core_options	eqa	link	last_updated
357	Business and administration	Improvement practitioner	ST0192	Approved for delivery	4	6000	14	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/improvement-practitioner-v1-0	27/02/2018
358	Business and administration	Improvement technician	ST0193	Approved for delivery	3	4000	14	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/improvement-technician-v1-0	27/02/2018
359	Transport and logistics	Network operations	ST0503	Approved for delivery	2	3000	12	1	National Skills Academy for Rail (NSAR)	https://www.instituteforapprenticeships.org/apprenticeship-standards/network-operations-v1-0	27/02/2018
360	Protective services	Operational firefighter	ST0486	Approved for delivery	3	12000	24	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/operational-firefighter-v1-1	20/08/2019
361	Health and science	Optical assistant	ST0530	Approved for delivery	2	5000	12	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/optical-assistant-v1-0	27/02/2018
362	Health and science	Rehabilitation worker (visual impairment)	ST0431	Approved for delivery	5	12000	24	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/rehabilitation-worker-(visual-impairment)-v1-0	27/02/2018
363	Engineering and manufacturing	Science industry process and plant engineer (degree)	ST0473	Approved for delivery	6	24000	60	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/science-industry-process-and-plant-engineer-(degree)-v1-0	27/02/2018
364	Engineering and manufacturing	Science manufacturing process operative	ST0422	Approved for delivery	2	6000	18	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/science-manufacturing-process-operative-v1-0	27/02/2018
365	Construction	Advanced carpentry and joinery	ST0263	Approved for delivery	3	9000	12	1	Construction Industry Training Board (CITB)	https://www.instituteforapprenticeships.org/apprenticeship-standards/advanced-carpentry-and-joinery-v1-0	27/02/2018
366	Business and administration	Senior leader (degree)	ST0480	Approved for delivery	7	18000	24	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/senior-leader-(degree)-v1-0	27/02/2018
367	Construction	Carpentry and joinery	ST0264	Approved for delivery	2	12000	24	1	Construction Industry Training Board (CITB)	https://www.instituteforapprenticeships.org/apprenticeship-standards/carpentry-and-joinery-v1-1	18/09/2020
368	Construction	Commercial thermal insulation operative	ST0333	Approved for delivery	2	9000	18	0	Ofqual	https://www.instituteforapprenticeships.org/apprenticeship-standards/commercial-thermal-insulation-operative-v1-0	21/02/2018
369	Creative and design	Watchmaker	ST0395	Approved for delivery	3	27000	24	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/watchmaker-v1-0	19/02/2018
370	Construction	Industrial thermal insulation technician	ST0521	Approved for delivery	3	12000	24	0	Ofqual	https://www.instituteforapprenticeships.org/apprenticeship-standards/industrial-thermal-insulation-technician-v1-0	09/02/2018
371	Business and administration	School business professional	ST0575	Approved for delivery	4	6000	18	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/school-business-professional-v1-0	05/02/2018
372	Business and administration	Policy officer	ST0526	Approved for delivery	4	6000	24	0	Ofqual	https://www.instituteforapprenticeships.org/apprenticeship-standards/policy-officer-v1-0	02/02/2018
373	Creative and design	Creative venue technician	ST0106	Approved for delivery	3	9000	24	0	Ofqual	https://www.instituteforapprenticeships.org/apprenticeship-standards/creative-venue-technician-v1-0	26/01/2018
374	Business and administration	Leisure duty manager	ST0301	Approved for delivery	3	5000	18	0	Chartered Institute for the Management of Sport and Physical Activity (CIMSPA)	https://www.instituteforapprenticeships.org/apprenticeship-standards/leisure-duty-manager-v1-1	06/06/2018
375	Construction	Tunnelling operative	ST0375	Approved for delivery	2	12000	12	0	Construction Industry Training Board (CITB)	https://www.instituteforapprenticeships.org/apprenticeship-standards/tunnelling-operative-v1-0	26/01/2018
376	Engineering and manufacturing	Nuclear operative	ST0291	Approved for delivery	2	15000	24	1	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/nuclear-operative-v1-0	22/01/2018
377	Engineering and manufacturing	Marine engineer	ST0364	Approved for delivery	3	27000	48	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/marine-engineer-v1-0	19/01/2018
378	Construction	Plumbing and domestic heating technician	ST0303	Approved for delivery	3	21000	48	1	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/plumbing-and-domestic-heating-technician-v1-0	19/01/2018
379	Engineering and manufacturing	Leisure and entertainment engineering technician	ST0569	Approved for delivery	3	21000	30	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/leisure-and-entertainment-engineering-technician-v1-0	16/01/2018
380	Catering and hospitality	Hospitality manager	ST0229	Approved for delivery	4	6000	18	1	People 1st International	https://www.instituteforapprenticeships.org/apprenticeship-standards/hospitality-manager-v1-0	10/01/2018
381	Health and science	Laboratory scientist (degree)	ST0626	Approved for delivery	6	27000	60	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/laboratory-scientist-(degree)-v1-0	03/01/2018
382	Engineering and manufacturing	High speed rail and infrastructure technician	ST0528	Approved for delivery	4	21000	36	1	Ofqual	https://www.instituteforapprenticeships.org/apprenticeship-standards/high-speed-rail-and-infrastructure-technician-v1-0	27/12/2017
383	Engineering and manufacturing	Electrical power networks engineer	ST0475	Approved for delivery	4	27000	30	1	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/electrical-power-networks-engineer-v1-0	20/12/2017
384	Transport and logistics	Passenger transport operations manager	ST0337	Approved for delivery	4	12000	18	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/passenger-transport-operations-manager-v1-0	20/12/2017
385	Business and administration	Recruitment consultant	ST0320	Approved for delivery	3	5000	12	0	Ofqual	https://www.instituteforapprenticeships.org/apprenticeship-standards/recruitment-consultant-v1-0	20/12/2017
386	Business and administration	Recruitment resourcer	ST0321	Approved for delivery	2	5000	12	0	Ofqual	https://www.instituteforapprenticeships.org/apprenticeship-standards/recruitment-resourcer-v1-0	20/12/2017
387	Sales, marketing and procurement	Commercial procurement and supply (formerly Public sector commercial professional)	ST0313	Approved for delivery	4	9000	24	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/commercial-procurement-and-supply-(formerly-public-sector-commercial-professional)-v2-0	09/09/2017
388	Health and science	Community activator coach	ST0478	Approved for delivery	2	6000	18	0	Chartered Institute for the Management of Sport and Physical Activity (CIMSPA)	https://www.instituteforapprenticeships.org/apprenticeship-standards/community-activator-coach-v1-0	15/12/2017
389	Construction	Electrical, electronic product service and installation engineer	ST0150	Approved for delivery	3	9000	36	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/electrical,-electronic-product-service-and-installation-engineer-v1-0	06/12/2017
390	Legal, finance and accounting	Financial services professional	ST0472	Approved for delivery	6	18000	42	1	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/financial-services-professional-v1-0	06/12/2017
391	Legal, finance and accounting	Probate technician	ST0102	Approved for delivery	4	5000	18	0	Ofqual	https://www.instituteforapprenticeships.org/apprenticeship-standards/probate-technician-v1-0	06/12/2017
392	Legal, finance and accounting	Motor finance specialist	ST0474	Approved for delivery	3	6000	24	1	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/motor-finance-specialist-v1-0	04/12/2017
393	Construction	Lifting technician	ST0267	Approved for delivery	2	15000	18	1	Construction Industry Training Board (CITB)	https://www.instituteforapprenticeships.org/apprenticeship-standards/lifting-technician-v1-0	01/12/2017
394	Transport and logistics	Supply chain practitioner (fast moving consumer good) (previously Operator Manager)	ST0201	Approved for delivery	3	15000	30	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/supply-chain-practitioner-(fast-moving-consumer-good)-(previously-operator-manager)-v1-0	24/11/2017
395	Transport and logistics	Passenger transport onboard and station team member	ST0339	Approved for delivery	2	6000	12	1	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/passenger-transport-onboard-and-station-team-member-v1-0	23/11/2017
396	Health and science	Nursing associate	ST0508	Retired	5	15000	24	0	Ofqual	https://www.instituteforapprenticeships.org/apprenticeship-standards/nursing-associate-v1-0	20/11/2017
397	Engineering and manufacturing	Non-destructive testing engineer (degree)	ST0369	Approved for delivery	6	27000	48	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/non-destructive-testing-engineer-(degree)-v1-0	20/11/2017
398	Legal, finance and accounting	Accountancy or taxation professional	ST0001	Approved for delivery	7	21000	36	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/accountancy-or-taxation-professional-v1-0	07/11/2017
399	Legal, finance and accounting	Senior insurance professional	ST0520	Approved for delivery	6	21000	36	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/senior-insurance-professional-v1-0	07/11/2017
400	Education and childcare	Teacher	ST0490	Approved for delivery	6	9000	12	0	TBC - Quality Assurance Agency (QAA)	https://www.instituteforapprenticeships.org/apprenticeship-standards/teacher-v1-0	19/10/2017
401	Construction	Engineering construction pipefitter	ST0162	Approved for delivery	3	21000	36	0	Engineering Construction Industry Training Board (ECITB)	https://www.instituteforapprenticeships.org/apprenticeship-standards/engineering-construction-pipefitter-v1-1	11/10/2018
402	Engineering and manufacturing	Process automation engineer (degree)	ST0407	Approved for delivery	7	27000	60	0	Engineering Equipment and Material Users Association (EEMUA)	https://www.instituteforapprenticeships.org/apprenticeship-standards/process-automation-engineer-(degree)-v1-0	16/10/2017
403	Construction	Building services design engineer (degree)	ST0372	Approved for delivery	6	27000	60	0	TBC - Quality Assurance Agency (QAA)	https://www.instituteforapprenticeships.org/apprenticeship-standards/building-services-design-engineer-(degree)-v1-0	04/10/2017
404	Construction	Civil engineer (degree)	ST0417	Approved for delivery	6	27000	66	0	TBC - Quality Assurance Agency (QAA)	https://www.instituteforapprenticeships.org/apprenticeship-standards/civil-engineer-(degree)-v1-0	04/10/2017
405	Construction	Civil engineering technician	ST0091	Approved for delivery	3	12000	36	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/civil-engineering-technician-v1-0	04/10/2017
406	Creative and design	Organ builder	ST0382	Approved for delivery	3	24000	36	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/organ-builder-v1-0	26/09/2017
407	Construction	Digital engineering technician	ST0266	Approved for delivery	3	21000	36	0	Construction Industry Training Board (CITB)	https://www.instituteforapprenticeships.org/apprenticeship-standards/digital-engineering-technician-v1-0	18/09/2017
408	Business and administration	Business administrator	ST0070	Approved for delivery	3	5000	18	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/business-administrator-v1-0	18/09/2017
409	Construction	Building services engineering ductwork installer	ST0060	Approved for delivery	2	15000	24	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/building-services-engineering-ductwork-installer-v1-0	12/09/2017
410	Construction	Building services engineering service and maintenance engineer	ST0061	Approved for delivery	3	18000	48	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/building-services-engineering-service-and-maintenance-engineer-v1-0	12/09/2017
411	Construction	Building services engineering ventilation hygiene technician	ST0391	Approved for delivery	3	9000	24	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/building-services-engineering-ventilation-hygiene-technician-v1-0	12/09/2017
412	Business and administration	HR support	ST0239	Approved for delivery	3	4500	18	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/hr-support-v1-1	05/07/2019
413	Business and administration	HR consultant partner	ST0238	Approved for delivery	5	7000	36	1	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/hr-consultant-partner-v1-1	05/07/2019
414	Construction	Building services engineering ductwork craftsperson	ST0064	Approved for delivery	3	27000	48	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/building-services-engineering-ductwork-craftsperson-v1-0	17/08/2017
415	Engineering and manufacturing	Project controls technician	ST0163	Approved for delivery	3	21000	36	0	Engineering Construction Industry Training Board (ECITB)	https://www.instituteforapprenticeships.org/apprenticeship-standards/project-controls-technician-v1-0	17/08/2017
416	Health and science	Metrology technician	ST0282	Approved for delivery	3	24000	36	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/metrology-technician-v1-0	17/08/2017
417	Transport and logistics	Rail infrastructure operator	ST0419	Approved for delivery	2	12000	12	1	National Skills Academy for Rail (NSAR)	https://www.instituteforapprenticeships.org/apprenticeship-standards/rail-infrastructure-operator-v1-0	17/08/2017
418	Transport and logistics	Passenger transport driver - bus, coach and tram	ST0338	Approved for delivery	2	6000	12	1	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/passenger-transport-driver---bus,-coach-and-tram-v1-1	07/08/2018
419	Agriculture, environmental and animal care	Arborist	ST0223	Approved for delivery	2	15000	24	0	Ofqual	https://www.instituteforapprenticeships.org/apprenticeship-standards/arborist-v1-0	27/06/2017
420	Agriculture, environmental and animal care	Horticulture or landscape operative	ST0225	Approved for delivery	2	5000	24	1	Ofqual	https://www.instituteforapprenticeships.org/apprenticeship-standards/horticulture-or-landscape-operative-v1-0	27/06/2017
421	Agriculture, environmental and animal care	Forest operative	ST0224	Approved for delivery	2	12000	24	1	Ofqual	https://www.instituteforapprenticeships.org/apprenticeship-standards/forest-operative-v1-0	27/06/2017
422	Creative and design	Bespoke Saddler	ST0328	Approved for delivery	3	9000	24	0	UK Fashion & Textile Association (UKFT)	https://www.instituteforapprenticeships.org/apprenticeship-standards/bespoke-saddler-v1-0	27/06/2017
423	Health and science	Food industry technical professional (integrated degree)	ST0197	Approved for delivery	6	27000	48	0	TBC - Quality Assurance Agency (QAA)	https://www.instituteforapprenticeships.org/apprenticeship-standards/food-industry-technical-professional-(integrated-degree)-v1-0	27/06/2017
424	Catering and hospitality	Baker	ST0191	Approved for delivery	2	9000	18	1	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/baker-v1-0	09/06/2017
425	Construction	Building services design technician	ST0063	Approved for delivery	3	12000	36	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/building-services-design-technician-v1-0	09/06/2017
426	Health and science	Animal technologist	ST0058	Approved for delivery	3	6000	24	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/animal-technologist-v1-0	09/06/2017
427	Construction	Building services engineering craftsperson	ST0062	Approved for delivery	3	18000	36	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/building-services-engineering-craftsperson-v1-0	06/06/2017
428	Creative and design	Junior content producer	ST0105	Approved for delivery	3	12000	12	0	National Skills Academy for Rail (NSAR)	https://www.instituteforapprenticeships.org/apprenticeship-standards/junior-content-producer-v1-0	06/06/2017
429	Engineering and manufacturing	Mineral processing mobile and static plant operator	ST0144	Approved for delivery	2	9000	18	1	Ofqual	https://www.instituteforapprenticeships.org/apprenticeship-standards/mineral-processing-mobile-and-static-plant-operator-v1-0	06/06/2017
430	Engineering and manufacturing	Accident repair technician	ST0352	Approved for delivery	3	12000	24	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/accident-repair-technician-v1-0	06/06/2017
431	Construction	Steel fixer	ST0271	Approved for delivery	2	12000	18	0	Construction Industry Training Board (CITB)	https://www.instituteforapprenticeships.org/apprenticeship-standards/steel-fixer-v1-0	16/05/2017
432	Sales, marketing and procurement	Fishmonger	ST0194	Approved for delivery	2	12000	24	0	Ofqual	https://www.instituteforapprenticeships.org/apprenticeship-standards/fishmonger-v1-0	16/05/2017
433	Health and science	Registered nurse - degree (NMC 2010)	ST0293	Approved for delivery	6	27000	48	1	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/registered-nurse---degree-(nmc-2010)-v1-0	09/05/2017
434	Catering and hospitality	Chef de partie	ST0227	Approved for delivery	3	9000	18	0	People 1st International	https://www.instituteforapprenticeships.org/apprenticeship-standards/chef-de-partie-v1-0	07/04/2017
435	Digital	IS business analyst	ST0117	Approved for delivery	4	18000	18	0	National Skills Academy for Rail (NSAR)	https://www.instituteforapprenticeships.org/apprenticeship-standards/is-business-analyst-v1-0	31/03/2017
436	Engineering and manufacturing	Post graduate engineer	ST0456	Approved for delivery	7	27000	30	1	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/post-graduate-engineer-v1-0	31/03/2017
437	Health and science	Healthcare science practitioner (integrated degree)	ST0413	Approved for delivery	6	27000	36	0	Academy for Healthcare Science (AHCS)	https://www.instituteforapprenticeships.org/apprenticeship-standards/healthcare-science-practitioner-(integrated-degree)-v1-0	31/03/2017
438	Engineering and manufacturing	Engineering technician	ST0457	Approved for delivery	3	26000	42	1	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/engineering-technician-v1-1	04/03/2019
439	Engineering and manufacturing	Nuclear technician	ST0380	Approved for delivery	5	21000	36	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/nuclear-technician-v1-0	24/03/2017
440	Construction	Facilities management supervisor	ST0170	Approved for delivery	3	4000	18	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/facilities-management-supervisor-v1-0	17/02/2017
441	Engineering and manufacturing	Composites technician	ST0094	Approved for delivery	3	27000	36	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/composites-technician-v1-0	16/02/2017
442	Engineering and manufacturing	Power engineer (integrated degree)	ST0153	Approved for delivery	7	27000	60	1	TBC - Quality Assurance Agency (QAA)	https://www.instituteforapprenticeships.org/apprenticeship-standards/power-engineer-(integrated-degree)-v1-0	16/02/2017
443	Health and science	Associate ambulance practitioner	ST0287	Approved for delivery	4	15000	18	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/associate-ambulance-practitioner-v1-0	12/01/2017
444	Sales, marketing and procurement	Event assistant	ST0168	Approved for delivery	3	9000	18	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/event-assistant-v1-0	12/01/2017
445	Hair and beauty	Hair professional	ST0213	Approved for delivery	2	7000	24	1	Ofqual	https://www.instituteforapprenticeships.org/apprenticeship-standards/hair-professional-v1-1	03/10/2018
446	Creative and design	Spectacle maker	ST0383	Approved for delivery	3	4000	24	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/spectacle-maker-v1-0	21/12/2016
447	Digital	Software development technician	ST0128	Approved for delivery	3	15000	18	0	National Skills Academy for Rail (NSAR)	https://www.instituteforapprenticeships.org/apprenticeship-standards/software-development-technician-v1-0	16/12/2016
448	Digital	Unified communications technician	ST0130	Approved for delivery	3	15000	24	0	National Skills Academy for Rail (NSAR)	https://www.instituteforapprenticeships.org/apprenticeship-standards/unified-communications-technician-v1-0	16/12/2016
449	Legal, finance and accounting	Financial adviser	ST0374	Approved for delivery	4	9000	24	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/financial-adviser-v1-0	28/11/2016
450	Sales, marketing and procurement	Advanced butcher	ST0077	Approved for delivery	3	12000	18	1	Worshipful Company of Butchers	https://www.instituteforapprenticeships.org/apprenticeship-standards/advanced-butcher-v1-1	10/09/2018
451	Legal, finance and accounting	Advanced credit controller and debt collection specialist	ST0175	Approved for delivery	3	9000	18	1	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/advanced-credit-controller-and-debt-collection-specialist-v1-0	31/10/2016
452	Engineering and manufacturing	Advanced dairy technologist	ST0393	Approved for delivery	5	27000	36	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/advanced-dairy-technologist-v1-0	31/10/2016
453	Health and science	Healthcare science associate	ST0220	Approved for delivery	4	9000	24	0	Academy for Healthcare Science (AHCS)	https://www.instituteforapprenticeships.org/apprenticeship-standards/healthcare-science-associate-v1-0	31/10/2016
454	Health and science	Senior healthcare support worker	ST0217	Approved for delivery	3	5000	18	1	Ofqual	https://www.instituteforapprenticeships.org/apprenticeship-standards/senior-healthcare-support-worker-v1-2	03/10/2018
455	Sales, marketing and procurement	Retail manager	ST0325	Approved for delivery	4	5000	12	0	People 1st International	https://www.instituteforapprenticeships.org/apprenticeship-standards/retail-manager-v1-1	01/07/2019
456	Engineering and manufacturing	Maintenance and operations engineering technician	ST0154	Approved for delivery	3	26000	36	1	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/maintenance-and-operations-engineering-technician-v1-1	04/03/2019
457	Engineering and manufacturing	Electrical power protection and plant commissioning engineer	ST0157	Approved for delivery	4	27000	36	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/electrical-power-protection-and-plant-commissioning-engineer-v1-0	19/09/2016
458	Sales, marketing and procurement	IT technical salesperson	ST0115	Approved for delivery	3	12000	12	0	National Skills Academy for Rail (NSAR)	https://www.instituteforapprenticeships.org/apprenticeship-standards/it-technical-salesperson-v1-0	19/09/2016
459	Legal, finance and accounting	Compliance and risk officer	ST0362	Approved for delivery	3	9000	15	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/compliance-and-risk-officer-v1-0	19/09/2016
460	Legal, finance and accounting	Senior compliance and risk specialist	ST0363	Approved for delivery	6	27000	36	1	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/senior-compliance-and-risk-specialist-v1-0	19/09/2016
461	Agriculture, environmental and animal care	Sports turf operative	ST0210	Approved for delivery	2	5000	18	0	Ofqual	https://www.instituteforapprenticeships.org/apprenticeship-standards/sports-turf-operative-v1-0	19/09/2016
462	Engineering and manufacturing	Aviation maintenance mechanic (military)	ST0014	Approved for delivery	2	12000	18	1	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/aviation-maintenance-mechanic-(military)-v1-0	15/09/2016
463	Legal, finance and accounting	Assistant accountant	ST0002	Approved for delivery	3	8000	18	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/assistant-accountant-v1-1	03/10/2018
464	Engineering and manufacturing	Bus and coach engineering technician	ST0067	Approved for delivery	3	16000	36	1	Ofqual	https://www.instituteforapprenticeships.org/apprenticeship-standards/bus-and-coach-engineering-technician-v1-1	01/07/2019
465	Engineering and manufacturing	Heavy vehicle service and maintenance technician	ST0068	Approved for delivery	3	15000	36	0	Ofqual	https://www.instituteforapprenticeships.org/apprenticeship-standards/heavy-vehicle-service-and-maintenance-technician-v1-1	01/07/2019
466	Engineering and manufacturing	Road transport engineering manager	ST0066	Approved for delivery	4	9000	36	0	Ofqual	https://www.instituteforapprenticeships.org/apprenticeship-standards/road-transport-engineering-manager-v1-0	07/09/2016
467	Engineering and manufacturing	Furniture manufacturer	ST0203	Approved for delivery	2	9000	24	1	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/furniture-manufacturer-v1-0	07/09/2016
468	Catering and hospitality	Hospitality supervisor	ST0230	Approved for delivery	3	4000	12	1	People 1st International	https://www.instituteforapprenticeships.org/apprenticeship-standards/hospitality-supervisor-v1-1	01/07/2019
469	Sales, marketing and procurement	Retail team leader	ST0326	Approved for delivery	3	4000	12	0	People 1st International	https://www.instituteforapprenticeships.org/apprenticeship-standards/retail-team-leader-v1-1	01/07/2019
470	Catering and hospitality	Senior production chef	ST0232	Approved for delivery	3	4000	12	0	People 1st International	https://www.instituteforapprenticeships.org/apprenticeship-standards/senior-production-chef-v1-3	01/07/2019
471	Engineering and manufacturing	Food and drink advanced process operator	ST0196	Approved for delivery	3	9000	30	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/food-and-drink-advanced-process-operator-v1-1	15/07/2019
472	Engineering and manufacturing	Food and drink process operator	ST0199	Approved for delivery	2	5000	18	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/food-and-drink-process-operator-v1-0	25/08/2016
473	Health and science	Food technologist	ST0198	Approved for delivery	3	18000	24	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/food-technologist-v1-0	25/08/2016
474	Engineering and manufacturing	Non-destructive testing (NDT) operator	ST0358	Approved for delivery	2	12000	18	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/non-destructive-testing-(ndt)-operator-v1-0	22/08/2016
475	Transport and logistics	Aviation operations manager	ST0039	Approved for delivery	4	7000	18	1	People 1st International	https://www.instituteforapprenticeships.org/apprenticeship-standards/aviation-operations-manager-v1-1	07/05/2019
476	Construction	Highways electrician or service operative	ST0052	Approved for delivery	3	12000	24	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/highways-electrician-or-service-operative-v1-2	01/07/2019
477	Construction	Highway electrical maintenance and installation operative	ST0051	Approved for delivery	2	9000	24	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/highway-electrical-maintenance-and-installation-operative-v1-0	19/08/2016
478	Construction	Fire emergency and security systems technician	ST0189	Approved for delivery	3	18000	36	1	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/fire-emergency-and-security-systems-technician-v1-0	19/08/2016
479	Business and administration	Associate project manager	ST0310	Approved for delivery	4	6000	24	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/associate-project-manager-v1-3	04/03/2019
480	Transport and logistics	Airside operator	ST0036	Retired	2	3000	12	0	People 1st International	https://www.instituteforapprenticeships.org/apprenticeship-standards/airside-operator-v1-0	29/07/2016
481	Sales, marketing and procurement	Customer service practitioner	ST0072	Approved for delivery	2	3500	12	0	Ofqual	https://www.instituteforapprenticeships.org/apprenticeship-standards/customer-service-practitioner-v1-1	03/10/2018
482	Legal, finance and accounting	Professional accounting or taxation technician	ST0003	Approved for delivery	4	8000	18	1	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/professional-accounting-or-taxation-technician-v1-1	04/03/2019
483	Sales, marketing and procurement	Travel consultant	ST0340	Approved for delivery	3	7000	12	0	People 1st International	https://www.instituteforapprenticeships.org/apprenticeship-standards/travel-consultant-v1-1	04/05/2020
484	Care services	Adult care worker	ST0005	Approved for delivery	2	3000	12	0	National Skills Academy for Rail (NSAR)	https://www.instituteforapprenticeships.org/apprenticeship-standards/adult-care-worker-v1-1	05/02/2018
